Date;Microsoft;Apple
1986-03-13 00:00:00-05:00;0.06027409806847572;0.08550050854682922
1986-03-14 00:00:00-05:00;0.06242663785815239;0.09025019407272339
1986-03-17 00:00:00-05:00;0.06350351870059967;0.08981843292713165
1986-03-18 00:00:00-05:00;0.061888519674539566;0.09284178167581558
1986-03-19 00:00:00-05:00;0.06081225350499153;0.09154640883207321
1986-03-20 00:00:00-05:00;0.059197843074798584;0.09759147465229034
1986-03-21 00:00:00-05:00;0.05758348107337952;0.09543253481388092
1986-03-24 00:00:00-05:00;0.055969059467315674;0.09240996837615967
1986-03-25 00:00:00-05:00;0.05704532936215401;0.09629610180854797
1986-03-26 00:00:00-05:00;0.05865972861647606;0.09759147465229034
1986-03-27 00:00:00-05:00;0.05973600596189499;0.09759147465229034
1986-03-31 00:00:00-05:00;0.059197843074798584;0.09759147465229034
1986-04-01 00:00:00-05:00;0.05865972861647606;0.09413717687129974
1986-04-02 00:00:00-05:00;0.059197843074798584;0.09413717687129974
1986-04-03 00:00:00-05:00;0.05973600596189499;0.0932735949754715
1986-04-04 00:00:00-05:00;0.05973600596189499;0.09240996837615967
1986-04-07 00:00:00-05:00;0.05865972861647606;0.09413717687129974
1986-04-08 00:00:00-05:00;0.059197843074798584;0.09543253481388092
1986-04-09 00:00:00-05:00;0.06027409806847572;0.09370537847280502
1986-04-10 00:00:00-05:00;0.06081225350499153;0.09413717687129974
1986-04-11 00:00:00-05:00;0.061888519674539566;0.0932735949754715
1986-04-14 00:00:00-05:00;0.06242663785815239;0.09284178167581558
1986-04-15 00:00:00-05:00;0.06242663785815239;0.09456895291805267
1986-04-16 00:00:00-05:00;0.06457976251840591;0.09759147465229034
1986-04-17 00:00:00-05:00;0.06511791050434113;0.10018228739500046
1986-04-18 00:00:00-05:00;0.06296536326408386;0.10277378559112549
1986-04-21 00:00:00-05:00;0.06296536326408386;0.1049327477812767
1986-04-22 00:00:00-05:00;0.061888519674539566;0.10320556908845901
1986-04-23 00:00:00-05:00;0.062157563865184784;0.1023411974310875
1986-04-24 00:00:00-05:00;0.06834666430950165;0.10838714987039566
1986-04-25 00:00:00-05:00;0.07265231758356094;0.11140961945056915
1986-04-28 00:00:00-04:00;0.07319043576717377;0.11054602265357971
1986-04-29 00:00:00-04:00;0.07103729248046875;0.10795533657073975
1986-04-30 00:00:00-04:00;0.06942295283079147;0.10450097918510437
1986-05-01 00:00:00-04:00;0.06834666430950165;0.10450097918510437
1986-05-02 00:00:00-04:00;0.06834666430950165;0.10536452382802963
1986-05-05 00:00:00-04:00;0.06780853867530823;0.11097786575555801
1986-05-06 00:00:00-04:00;0.06834666430950165;0.11270506680011749
1986-05-07 00:00:00-04:00;0.06834666430950165;0.10881892591714859
1986-05-08 00:00:00-04:00;0.06888478249311447;0.11400038003921509
1986-05-09 00:00:00-04:00;0.06834666430950165;0.11529656499624252
1986-05-12 00:00:00-04:00;0.06888478249311447;0.12565959990024567
1986-05-13 00:00:00-04:00;0.06942295283079147;0.12436426430940628
1986-05-14 00:00:00-04:00;0.06888478249311447;0.1273876428604126
1986-05-15 00:00:00-04:00;0.06888478249311447;0.12436426430940628
1986-05-16 00:00:00-04:00;0.06942295283079147;0.12436426430940628
1986-05-19 00:00:00-04:00;0.06834666430950165;0.12306881695985794
1986-05-20 00:00:00-04:00;0.06780853867530823;0.1222052350640297
1986-05-21 00:00:00-04:00;0.0667322650551796;0.12781934440135956
1986-05-22 00:00:00-04:00;0.0667322650551796;0.1269557923078537
1986-05-23 00:00:00-04:00;0.0667322650551796;0.12781934440135956
1986-05-27 00:00:00-04:00;0.06888478249311447;0.1273876428604126
1986-05-28 00:00:00-04:00;0.07103729248046875;0.128682941198349
1986-05-29 00:00:00-04:00;0.07265231758356094;0.12781934440135956
1986-05-30 00:00:00-04:00;0.07534296810626984;0.12781934440135956
1986-06-02 00:00:00-04:00;0.07319043576717377;0.12825118005275726
1986-06-03 00:00:00-04:00;0.07319043576717377;0.13084186613559723
1986-06-04 00:00:00-04:00;0.07265231758356094;0.1338644176721573
1986-06-05 00:00:00-04:00;0.07372857630252838;0.1342962086200714
1986-06-06 00:00:00-04:00;0.07372857630252838;0.13041014969348907
1986-06-09 00:00:00-04:00;0.07049919664859772;0.12436426430940628
1986-06-10 00:00:00-04:00;0.07049919664859772;0.12436426430940628
1986-06-11 00:00:00-04:00;0.07049919664859772;0.12479604035615921
1986-06-12 00:00:00-04:00;0.06780853867530823;0.12436426430940628
1986-06-13 00:00:00-04:00;0.06780853867530823;0.12565959990024567
1986-06-16 00:00:00-04:00;0.06727038323879242;0.12393239140510559
1986-06-17 00:00:00-04:00;0.06834666430950165;0.11831913888454437
1986-06-18 00:00:00-04:00;0.06780853867530823;0.11831913888454437
1986-06-19 00:00:00-04:00;0.06727038323879242;0.12090987712144852
1986-06-20 00:00:00-04:00;0.06753948330879211;0.12436426430940628
1986-06-23 00:00:00-04:00;0.06834666430950165;0.12004627287387848
1986-06-24 00:00:00-04:00;0.06780853867530823;0.12047812342643738
1986-06-25 00:00:00-04:00;0.0667322650551796;0.12393239140510559
1986-06-26 00:00:00-04:00;0.06457976251840591;0.12522779405117035
1986-06-27 00:00:00-04:00;0.06404164433479309;0.12393239140510559
1986-06-30 00:00:00-04:00;0.06619416177272797;0.12393239140510559
1986-07-01 00:00:00-04:00;0.06619416177272797;0.1222052350640297
1986-07-02 00:00:00-04:00;0.06619416177272797;0.12479604035615921
1986-07-03 00:00:00-04:00;0.06727038323879242;0.1299782395362854
